year,unitid,sex,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,gender,pct_admitted,pct_matriculated
2015,461528,99,36.0,19.0,6.0,12.0,18.0,Total,0.5277777777777778,0.9473684210526315
2015,461537,1,,,,,,Male,,
2015,461537,2,,,,,,Female,,
2015,461537,99,,,,,,Total,,
2015,461546,1,,,,,,Male,,
2015,461546,2,,,,,,Female,,
2015,461546,99,,,,,,Total,,
2015,461555,1,,,,,,Male,,
2015,461555,2,,,,,,Female,,
2015,461555,99,,,,,,Total,,
2015,461564,1,,,,,,Male,,
2015,461564,2,,,,,,Female,,
2015,461564,99,,,,,,Total,,
2015,461573,1,,,,,,Male,,
2015,461573,2,,,,,,Female,,
2015,461573,99,,,,,,Total,,
2015,461582,1,,,,,,Male,,
2015,461582,2,,,,,,Female,,
2015,461582,99,,,,,,Total,,
2015,461591,1,,,,,,Male,,
2015,461591,2,,,,,,Female,,
2015,461591,99,,,,,,Total,,
2015,461607,1,,,,,,Male,,
2015,461607,2,,,,,,Female,,
2015,461607,99,,,,,,Total,,
2015,461625,1,,,,,,Male,,
2015,461625,2,,,,,,Female,,
2015,461625,99,,,,,,Total,,
2015,461643,1,,,,,,Male,,
2015,461643,2,,,,,,Female,,
2015,461643,99,,,,,,Total,,
2015,461652,1,,,,,,Male,,
2015,461652,2,,,,,,Female,,
2015,461652,99,,,,,,Total,,
2015,461670,1,,,,,,Male,,
2015,461670,2,,,,,,Female,,
2015,461670,99,,,,,,Total,,
2015,461689,1,,,,,,Male,,
2015,461689,2,,,,,,Female,,
2015,461689,99,,,,,,Total,,
2015,461698,1,,,,,,Male,,
2015,461698,2,,,,,,Female,,
2015,461698,99,,,,,,Total,,
2015,461704,1,,,,,,Male,,
2015,461704,2,,,,,,Female,,
2015,461704,99,,,,,,Total,,
2015,461713,1,,,,,,Male,,
2015,461713,2,,,,,,Female,,
2015,461713,99,,,,,,Total,,
2015,461722,1,,,,,,Male,,
2015,461722,2,,,,,,Female,,
2015,461722,99,,,,,,Total,,
2015,461731,1,,,,,,Male,,
2015,461731,2,,,,,,Female,,
2015,461731,99,,,,,,Total,,
2015,461740,1,,,,,,Male,,
2015,461740,2,,,,,,Female,,
2015,461740,99,,,,,,Total,,
2015,461759,1,,,,,,Male,,
2015,461759,2,,,,,,Female,,
2015,461759,99,,,,,,Total,,
2015,461768,1,0.0,,,,,Male,,
2015,461768,2,40.0,39.0,24.0,2.0,26.0,Female,0.975,0.6666666666666666
2015,461768,99,40.0,39.0,24.0,2.0,26.0,Total,0.975,0.6666666666666666
2015,461777,1,,,,,,Male,,
2015,461777,2,,,,,,Female,,
2015,461777,99,,,,,,Total,,
2015,461786,1,,,,,,Male,,
2015,461786,2,,,,,,Female,,
2015,461786,99,,,,,,Total,,
2015,461795,1,,,,,,Male,,
2015,461795,2,,,,,,Female,,
2015,461795,99,,,,,,Total,,
2015,461801,1,,,,,,Male,,
2015,461801,2,,,,,,Female,,
2015,461801,99,,,,,,Total,,
2015,461810,1,,,,,,Male,,
2015,461810,2,,,,,,Female,,
2015,461810,99,,,,,,Total,,
2015,461829,1,,,,,,Male,,
2015,461829,2,,,,,,Female,,
2015,461829,99,,,,,,Total,,
2015,461838,1,,,,,,Male,,
2015,461838,2,,,,,,Female,,
2015,461838,99,,,,,,Total,,
2015,461847,1,2.0,2.0,2.0,,2.0,Male,1.0,1.0
2015,461847,2,0.0,,,,,Female,,
2015,461847,99,2.0,2.0,2.0,,2.0,Total,1.0,1.0
2015,461856,1,,,,,,Male,,
