opeid6,year,unitid,opeid,lowincome_pct,fafsa_sent_2ormore_pct,fafsa_sent_3ormore_pct,fafsa_sent_4ormore_pct,fafsa_sent_5ormore_pct,count_total_fafsa_applicants,first_gen_student_pct,faminc_mean
2038,2016,161004,203800,0.301282,,,,0.5,312.0,0.188356,96476.6
6305,2016,161022,630500,0.385135,0.459459,,,,148.0,0.49275399999999997,50668.4
5276,2016,161077,527600,0.585864,0.41179899999999997,0.212617,0.13259300000000002,0.0917056,1712.0,0.468157,33679.0
2039,2016,161086,203900,0.18429,,,,0.495468,331.0,0.108974,121521.0
5277,2016,161138,527700,0.5301779999999999,0.434842,0.22085,0.11179700000000001,0.0644719,1458.0,0.413404,37384.9
9826,2016,161192,982600,0.534925,0.373121,0.151194,0.0751547,0.0450928,1131.0,0.49513599999999997,34964.1
23613,2016,161208,2361300,0.41509399999999996,,,,,53.0,,50452.3
6760,2016,161217,676000,0.581371,0.461538,0.20774499999999999,0.105181,0.0612245,1911.0,0.508601,32646.2
2040,2016,161226,204000,0.29290900000000003,0.692703,0.483042,0.33915700000000004,0.24871500000000002,973.0,0.324382,61457.3
2041,2016,161235,204100,0.43233699999999997,0.6063270000000001,0.286467,0.1529,0.100176,569.0,0.429119,46428.9
2055,2016,161244,205500,0.529586,0.588757,0.390533,0.284024,0.21301799999999999,338.0,0.434641,38300.8
2053,2016,161253,205300,0.240988,0.75284,0.588642,0.47259300000000004,0.36543200000000003,4050.0,0.234053,77614.2
2044,2016,161299,204400,0.157549,0.553611,0.374179,0.26477,0.185996,457.0,0.206742,95450.5
2033,2016,161341,203300,0.463265,0.622449,0.35102,0.22653099999999998,0.153061,490.0,0.367117,46915.0
2050,2016,161457,205000,0.159857,0.8078850000000001,0.683154,0.587097,0.47025100000000003,1395.0,0.22073099999999998,93069.5
5760,2016,161484,576000,0.559471,0.30837,0.123348,,,454.0,0.467153,36883.9
9459,2016,161493,945900,0.7436729999999999,0.389338,0.14755,0.07646739999999999,0.0490038,1857.0,0.552452,21932.6
11673,2016,161509,1167300,0.29370599999999997,0.671329,0.493007,0.384615,0.272727,286.0,0.238806,71415.5
2051,2016,161518,205100,0.218534,0.7966810000000001,0.652835,0.525588,0.39834,723.0,0.30530999999999997,79959.9
21044,2016,161527,2104400,0.5441600000000001,0.22222199999999998,0.0897436,0.0384615,0.0242165,702.0,0.440191,41142.4
5525,2016,161545,552500,0.5384369999999999,0.43334399999999995,0.237107,0.14888099999999999,0.0969835,3083.0,0.3911,38327.3
2054,2016,161554,205400,0.429088,0.670767,0.42836499999999994,0.313314,0.22974,2764.0,0.32837,52565.6
2052,2016,161563,205200,0.308219,0.722603,0.559932,0.410959,0.299658,584.0,0.378676,62022.4
6858,2016,161572,685800,0.25431,0.560345,0.37069,0.260776,0.163793,464.0,0.321101,77519.5
9231,2016,161581,923100,0.576336,0.305344,0.164122,,,262.0,0.441176,33295.6
30649,2016,161615,3064900,,,,,,28.0,,31411.7
30972,2016,161651,3097200,0.825,,,,,80.0,0.44444399999999995,14160.4
2057,2016,161688,205700,0.465087,0.446384,0.24563600000000002,0.162718,0.11845399999999999,1604.0,0.477509,42028.9
2058,2016,161767,205800,0.516047,0.41635900000000003,0.251065,0.17495,0.12950899999999999,3521.0,0.43915200000000004,40387.0
10410,2016,161776,1041000,0.800805,0.350101,0.13078499999999998,0.084507,0.0603622,497.0,0.63747,17798.0
8263,2016,161800,826300,0.7560319999999999,0.217158,,,,373.0,0.659574,20274.7
24947,2016,161855,2494700,0.878505,0.42056099999999996,0.233645,,,107.0,0.6176470000000001,11266.8
2061,2016,161864,206100,0.771908,0.5744229999999999,0.355556,0.24695999999999999,0.16100599999999998,2385.0,0.564588,16749.1
2102,2016,161873,210200,0.505666,0.679887,0.38526900000000003,0.268414,0.19759200000000002,1412.0,0.399002,40541.3
2062,2016,162007,206200,0.404656,0.769771,0.568736,0.446046,0.343681,2706.0,0.35520100000000004,51709.3
1436,2016,162061,143600,0.40174699999999997,0.724891,0.528384,0.375546,0.257642,229.0,0.356098,61257.6
8308,2016,162104,830800,0.510358,0.410546,0.206215,0.136535,0.103578,1062.0,0.532979,40150.9
2064,2016,162122,206400,0.49042299999999994,0.42258599999999996,0.24581,0.177973,0.132482,2506.0,0.45115200000000005,44030.9
4650,2016,162168,465000,0.67203,0.38366300000000003,0.21410900000000002,0.139851,0.10643599999999999,808.0,0.536377,22400.2
2067,2016,162210,206700,0.42441899999999994,0.744186,0.421512,0.296512,0.21511599999999997,344.0,0.351852,43109.4
2068,2016,162283,206800,0.542607,0.734159,0.504734,0.383103,0.294246,1373.0,0.47200000000000003,35608.4
7447,2016,162335,744700,0.758621,,,,,58.0,,24750.9
25454,2016,162371,2545400,0.741379,0.181609,0.0666667,,,870.0,0.559006,21886.5
2071,2016,162557,207100,0.46792700000000004,0.37858,0.202749,0.13459300000000002,0.0893471,1746.0,0.433987,45394.1
2072,2016,162584,207200,0.32157199999999997,0.711925,0.500223,0.38946,0.304154,2239.0,0.35998,64932.2
10014,2016,162609,1001400,0.514286,0.610204,0.45102,0.357143,0.269388,490.0,0.40961099999999995,37491.3
2073,2016,162654,207300,0.280449,0.788462,0.721154,0.661859,0.581731,624.0,0.175973,85729.3
4586,2016,162681,458612,0.698289,0.47672600000000004,0.201219,0.0983824,0.05295509999999999,38391.0,0.533064,25167.4
2074,2016,162690,207400,0.5086,0.37149899999999997,0.168059,0.10368599999999999,0.0668305,2035.0,0.476059,40402.7
2075,2016,162706,207500,0.489754,0.42418,0.22182399999999997,0.146004,0.0998975,1952.0,0.412736,42646.6
2076,2016,162760,207600,0.319658,0.762393,0.582906,0.45811999999999997,0.348718,585.0,0.311111,70738.0
8175,2016,162779,817500,0.551906,0.494428,0.308504,0.207625,0.14868,3410.0,0.387341,35785.6
22697,2016,162830,2269700,0.662338,0.33766199999999996,,,,77.0,0.43548400000000004,32950.3
2077,2016,162928,207700,0.248344,0.578808,0.5278149999999999,0.5059600000000001,0.476821,1510.0,0.131271,104768.0
25738,2016,162982,2573800,0.384615,0.230769,,,,143.0,0.310606,64862.8
7936,2016,163028,793600,0.558992,0.23825900000000003,0.08018330000000001,0.051546400000000006,0.0320733,873.0,0.49782299999999996,36794.4
2078,2016,163046,207800,0.11415499999999999,0.8866059999999999,0.847032,0.805175,0.742009,1314.0,0.134945,133605.0
24951,2016,163107,2495100,,,,,,16.0,,15713.9
11644,2016,163204,1164400,0.47495,0.41633000000000003,0.18627,0.10064400000000001,0.0600707,15848.0,0.46471999999999997,37492.0
2104,2016,163259,210400,0.398148,0.699074,0.358796,0.210648,0.145833,432.0,0.378947,55118.3
2105,2016,163268,210500,0.360638,0.785871,0.557449,0.405717,0.29549200000000003,3638.0,0.274018,66965.8
2103,2016,163286,210300,0.26626700000000003,0.811349,0.631837,0.522985,0.43145500000000003,7331.0,0.224271,91754.2
2080,2016,163295,208000,0.265432,0.8641979999999999,0.759259,0.625514,0.489712,486.0,0.17382,94970.9
2106,2016,163338,210600,0.43320299999999995,0.793181,0.660145,0.556736,0.45835699999999996,1789.0,0.357506,47921.2
10319,2016,163347,1031900,0.773053,0.38166,0.157275,0.0794057,0.046875,3904.0,0.5604680000000001,20871.0
23438,2016,163408,2343800,0.779412,0.426471,,,,204.0,0.7126439999999999,17603.2
6911,2016,163426,691100,0.544371,0.434253,0.265319,0.191216,0.14419,7719.0,0.436212,34234.0
2083,2016,163453,208300,0.414245,0.793763,0.643161,0.523742,0.41885200000000006,2822.0,0.331012,50700.8
2086,2016,163462,208600,0.182161,0.703518,0.565327,0.43593000000000004,0.354271,796.0,0.232713,98287.6
2087,2016,163532,208700,0.441176,,,,,34.0,,36660.7
23330,2016,163541,2333000,0.812684,0.255162,,,0.0457227,678.0,0.605634,16835.9
