year,fips,unitid,sex,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total
2017,6,109651,2,507.0,384.0,136.0,,136.0
2017,6,109651,99,813.0,572.0,226.0,,226.0
2017,6,109721,1,,,,,
2017,6,109721,2,,,,,
2017,6,109721,99,,,,,
2017,6,109730,1,,,,,
2017,6,109730,2,,,,,
2017,6,109730,99,,,,,
2017,6,109785,1,3257.0,1768.0,365.0,8.0,373.0
2017,6,109785,2,5682.0,3606.0,715.0,10.0,725.0
2017,6,109785,99,8939.0,5374.0,1080.0,18.0,1098.0
2017,6,109819,1,,,,,
2017,6,109819,2,,,,,
2017,6,109819,99,,,,,
2017,6,109907,1,,,,,
2017,6,109907,2,,,,,
2017,6,109907,99,,,,,
2017,6,109934,1,,,,,
2017,6,109934,2,,,,,
2017,6,109934,99,,,,,
2017,6,110060,1,,,,,
2017,6,110060,2,,,,,
2017,6,110060,99,,,,,
2017,6,110097,1,1241.0,894.0,293.0,1.0,294.0
2017,6,110097,2,2685.0,1932.0,597.0,0.0,597.0
2017,6,110097,99,3926.0,2826.0,890.0,1.0,891.0
2017,6,110194,1,,,,,
2017,6,110194,2,,,,,
2017,6,110194,99,,,,,
2017,4,110219,1,,,,,
2017,4,110219,2,,,,,
2017,4,110219,99,,,,,
2017,6,110246,1,,,,,
2017,6,110246,2,,,,,
2017,6,110246,99,,,,,
2017,6,110307,1,,,,,
2017,6,110307,2,,,,,
2017,6,110307,99,,,,,
2017,6,110316,1,,,,,
2017,6,110316,2,,,,,
2017,6,110316,99,,,,,
2017,6,110334,1,,,,,
2017,6,110334,2,,,,,
2017,6,110334,99,,,,,
2017,6,110361,1,1896.0,1434.0,570.0,14.0,584.0
2017,6,110361,2,3143.0,2450.0,805.0,24.0,829.0
2017,6,110361,99,5039.0,3884.0,1375.0,38.0,1413.0
2017,6,110370,1,643.0,380.0,87.0,0.0,87.0
2017,6,110370,2,1362.0,897.0,186.0,0.0,186.0
2017,6,110370,99,2005.0,1277.0,273.0,0.0,273.0
2017,6,110398,1,,,,,
2017,6,110398,2,,,,,
2017,6,110398,99,,,,,
2017,6,110404,1,5381.0,262.0,127.0,,127.0
2017,6,110404,2,1958.0,306.0,108.0,,108.0
2017,6,110404,99,7339.0,568.0,235.0,,235.0
2017,6,110413,1,2247.0,1554.0,230.0,,230.0
2017,6,110413,2,3004.0,2266.0,355.0,,355.0
2017,6,110413,99,5251.0,3820.0,585.0,,585.0
2017,6,110422,1,25496.0,7644.0,2535.0,6.0,2541.0
2017,6,110422,2,23092.0,9173.0,2706.0,6.0,2712.0
2017,6,110422,99,48588.0,16817.0,5241.0,12.0,5253.0
2017,6,110468,1,11.0,9.0,3.0,0.0,3.0
2017,6,110468,2,29.0,23.0,6.0,0.0,6.0
2017,6,110468,99,40.0,32.0,9.0,0.0,9.0
2017,6,110486,1,3627.0,2039.0,540.0,23.0,563.0
2017,6,110486,2,5255.0,3390.0,843.0,30.0,873.0
2017,6,110486,99,8882.0,5429.0,1383.0,53.0,1436.0
2017,6,110495,1,2856.0,2035.0,432.0,21.0,453.0
2017,6,110495,2,5213.0,4183.0,930.0,38.0,968.0
2017,6,110495,99,8069.0,6218.0,1362.0,59.0,1421.0
2017,6,110501,1,,,,,
2017,6,110501,2,,,,,
2017,6,110501,99,,,,,
2017,6,110510,1,6141.0,3298.0,973.0,21.0,994.0
2017,6,110510,2,9496.0,5636.0,1510.0,13.0,1523.0
