year,fips,unitid,reqt_hs_diploma,reqt_hs_rank,reqt_test_scores,reqt_sat_scores,reqt_other_test,reqt_residence,reqt_ability_to_benefit,reqt_age,reqt_toefl,reqt_other,years_college_reqd,no_entering_freshmen,open_admissions_policy,reqt_hs_gpa,reqt_hs_record,reqt_college_prep,reqt_recommendations,reqt_competencies,sat_act_report_period,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2017,5,106245,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,10.0,1.0,695.0,91.0,540.0,580.0,560.0,580.0,19.0,25.0,18.0,25.0,17.0,24.0,,,,
2017,5,106263,,,,,,,,,,,2.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106306,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106315,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106324,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106342,,0.0,1.0,,0.0,,,,0.0,,-2.0,,0.0,1.0,0.0,2.0,0.0,0.0,,30.0,16.0,169.0,89.0,510.0,602.0,520.0,632.0,22.0,28.0,21.0,31.0,21.0,27.0,,,,
2017,5,106351,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106360,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106397,,3.0,1.0,,0.0,,,,3.0,,-2.0,,0.0,1.0,1.0,3.0,0.0,0.0,,1191.0,24.0,4695.0,93.0,560.0,640.0,550.0,640.0,23.0,29.0,23.0,30.0,22.0,28.0,,,,
2017,5,106412,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,21.0,4.0,493.0,96.0,448.0,545.0,435.0,515.0,16.0,20.0,15.0,21.0,16.0,19.0,,,,
2017,5,106449,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106458,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,16.0,1.0,1381.0,97.0,508.0,605.0,508.0,625.0,21.0,26.0,22.0,28.0,20.0,26.0,,,,
