unitid,year,ftpt,fips,retention_rate,returning_students,prev_cohort,prev_exclusions,prev_cohort_adj
102669,2017,99,2,0.79,30.0,38.0,0.0,38.0
102711,2017,1,2,0.83,163.0,196.0,0.0,196.0
102711,2017,2,2,1.0,890.0,892.0,0.0,892.0
102711,2017,99,2,0.97,1053.0,1088.0,0.0,1088.0
102845,2017,1,53,0.5,1.0,2.0,0.0,2.0
102845,2017,2,53,,,,,
102845,2017,99,53,0.5,1.0,2.0,0.0,2.0
103501,2017,1,2,0.71,91.0,129.0,0.0,129.0
103501,2017,2,2,,,,,
103501,2017,99,2,0.71,91.0,129.0,0.0,129.0
103741,2017,1,4,0.63,26.0,41.0,0.0,41.0
103741,2017,2,4,0.56,5.0,9.0,0.0,9.0
103741,2017,99,4,0.62,31.0,50.0,0.0,50.0
103811,2017,1,4,,,,,
103811,2017,2,4,,,,,
103811,2017,99,4,,0.0,0.0,0.0,0.0
103893,2017,1,4,0.71,72.0,101.0,0.0,101.0
103893,2017,2,4,,,,,
103893,2017,99,4,0.71,72.0,101.0,0.0,101.0
103909,2017,1,4,0.68,46.0,68.0,0.0,68.0
103909,2017,2,4,,0.0,0.0,0.0,0.0
103909,2017,99,4,0.68,46.0,68.0,0.0,68.0
103927,2017,1,4,0.54,29.0,54.0,0.0,54.0
103927,2017,2,4,,,,,
103927,2017,99,4,0.54,29.0,54.0,0.0,54.0
103945,2017,1,4,1.0,2.0,2.0,0.0,2.0
103945,2017,2,4,,,,,
103945,2017,99,4,1.0,2.0,2.0,0.0,2.0
103954,2017,1,4,0.67,4.0,6.0,0.0,6.0
103954,2017,2,4,,,,,
103954,2017,99,4,0.67,4.0,6.0,0.0,6.0
103963,2017,1,4,0.68,245.0,360.0,0.0,360.0
103963,2017,2,4,,,,,
103963,2017,99,4,0.68,245.0,360.0,0.0,360.0
104090,2017,1,4,0.23,20.0,88.0,0.0,88.0
104090,2017,2,4,0.5,62.0,125.0,0.0,125.0
104090,2017,99,4,0.38,82.0,213.0,0.0,213.0
104151,2017,1,4,0.87,7040.0,8185.0,55.0,8130.0
104151,2017,2,4,0.53,24.0,45.0,0.0,45.0
104151,2017,99,4,0.86,7064.0,8230.0,55.0,8175.0
104160,2017,1,4,0.64,401.0,625.0,0.0,625.0
104160,2017,2,4,0.4,340.0,856.0,0.0,856.0
104160,2017,99,4,0.5,741.0,1481.0,0.0,1481.0
104179,2017,1,4,0.83,4981.0,5997.0,19.0,5978.0
104179,2017,2,4,0.62,1085.0,1756.0,0.0,1756.0
104179,2017,99,4,0.78,6066.0,7753.0,19.0,7734.0
104188,2017,1,4,0.88,21.0,24.0,0.0,24.0
104188,2017,2,4,,,,,
104188,2017,99,4,0.88,21.0,24.0,0.0,24.0
104346,2017,1,4,0.54,270.0,503.0,0.0,503.0
104346,2017,2,4,0.33,237.0,727.0,0.0,727.0
104346,2017,99,4,0.41,507.0,1230.0,0.0,1230.0
104364,2017,1,4,,,,,
104364,2017,2,4,,,,,
104364,2017,99,4,,0.0,0.0,0.0,0.0
104391,2017,1,4,0.76,65.0,85.0,0.0,85.0
104391,2017,2,4,,,,,
104391,2017,99,4,0.76,65.0,85.0,0.0,85.0
104425,2017,1,4,0.62,282.0,453.0,0.0,453.0
104425,2017,2,4,0.3,85.0,280.0,0.0,280.0
104425,2017,99,4,0.5,367.0,733.0,0.0,733.0
104434,2017,1,4,0.63,12.0,19.0,0.0,19.0
104434,2017,2,4,,,,,
104434,2017,99,4,0.63,12.0,19.0,0.0,19.0
104443,2017,1,4,0.77,10.0,13.0,0.0,13.0
104443,2017,2,4,0.7,7.0,10.0,0.0,10.0
104443,2017,99,4,0.74,17.0,23.0,0.0,23.0
104504,2017,1,4,0.83,15.0,18.0,0.0,18.0
104504,2017,2,4,0.78,14.0,18.0,0.0,18.0
104504,2017,99,4,0.81,29.0,36.0,0.0,36.0
104568,2017,1,4,0.87,103.0,121.0,2.0,119.0
104568,2017,2,4,0.87,113.0,134.0,4.0,130.0
104568,2017,99,4,0.87,216.0,255.0,6.0,249.0
104577,2017,1,4,0.52,187.0,453.0,91.0,362.0
104577,2017,2,4,0.45,262.0,590.0,10.0,580.0
104577,2017,99,4,0.48,449.0,1043.0,101.0,942.0
104586,2017,1,4,0.87,520.0,599.0,0.0,599.0
104586,2017,2,4,0.6,3.0,5.0,0.0,5.0
104586,2017,99,4,0.87,523.0,604.0,0.0,604.0
104708,2017,1,4,0.66,1123.0,1698.0,0.0,1698.0
104708,2017,2,4,0.42,464.0,1105.0,0.0,1105.0
104708,2017,99,4,0.57,1587.0,2803.0,0.0,2803.0
104717,2017,1,4,0.66,1559.0,2375.0,0.0,2375.0
104717,2017,2,4,0.39,285.0,729.0,0.0,729.0
104717,2017,99,4,0.59,1844.0,3104.0,0.0,3104.0
105145,2017,1,4,0.54,179.0,334.0,0.0,334.0
105145,2017,2,4,0.42,105.0,249.0,0.0,249.0
105145,2017,99,4,0.49,284.0,583.0,0.0,583.0
105154,2017,1,4,0.64,1013.0,1589.0,0.0,1589.0
105154,2017,2,4,0.42,487.0,1149.0,0.0,1149.0
105154,2017,99,4,0.55,1500.0,2738.0,0.0,2738.0
105206,2017,1,4,0.48,83.0,174.0,0.0,174.0
105206,2017,2,4,0.41,166.0,408.0,0.0,408.0
105206,2017,99,4,0.43,249.0,582.0,0.0,582.0
105215,2017,1,4,0.8,184.0,229.0,0.0,229.0
105215,2017,2,4,,,,,
105215,2017,99,4,0.8,184.0,229.0,0.0,229.0
105297,2017,1,4,,0.0,0.0,0.0,0.0
105297,2017,2,4,,0.0,0.0,0.0,0.0
105297,2017,99,4,,0.0,0.0,0.0,0.0
105330,2017,1,4,0.76,3798.0,5009.0,1.0,5008.0
105330,2017,2,4,0.5,296.0,594.0,0.0,594.0
105330,2017,99,4,0.73,4094.0,5603.0,1.0,5602.0
105349,2017,1,4,0.31,19.0,61.0,0.0,61.0
105349,2017,2,4,0.21,25.0,120.0,0.0,120.0
105349,2017,99,4,0.24,44.0,181.0,0.0,181.0
105367,2017,1,4,,,,,
105367,2017,2,4,,0.0,0.0,0.0,0.0
105367,2017,99,4,,0.0,0.0,0.0,0.0
105428,2017,1,4,0.63,495.0,790.0,0.0,790.0
105428,2017,2,4,0.42,316.0,752.0,0.0,752.0
105428,2017,99,4,0.53,811.0,1542.0,0.0,1542.0
105482,2017,1,4,,,,,
105482,2017,2,4,,,,,
105482,2017,99,4,,0.0,0.0,0.0,0.0
105525,2017,1,4,0.64,1416.0,2210.0,1.0,2209.0
105525,2017,2,4,0.42,1094.0,2624.0,0.0,2624.0
105525,2017,99,4,0.52,2510.0,4834.0,1.0,4833.0
