year,unitid,reqt_test_scores,open_admissions_policy,reqt_hs_gpa,reqt_recommendations,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2017,101453,Required,No,Neither required nor recommended,Required,0.0,0.0,6.0,100.0,,,,,19.0,21.0,15.0,20.0,18.0,19.0,,,,
2017,101462,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101471,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101480,Required,No,Required,Neither required nor recommended,26.0,2.0,1037.0,90.0,420.0,530.0,420.0,520.0,19.0,26.0,20.0,27.0,18.0,25.0,,,,
2017,101499,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101505,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101514,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101541,Required,No,Required,Recommended,1.0,2.0,65.0,98.0,,,,,18.0,25.0,18.0,26.0,16.0,23.0,,,,
2017,101569,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101587,Required,No,Recommended,Neither required nor recommended,19.0,4.0,442.0,96.0,440.0,520.0,420.0,500.0,18.0,23.0,17.0,24.0,16.0,22.0,,,,
2017,101602,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101648,Required,No,Required,Neither required nor recommended,92.0,32.0,234.0,83.0,530.0,630.0,540.0,640.0,19.0,26.0,18.0,25.0,17.0,26.0,,,,
2017,101675,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101693,Required,No,Required,Neither required nor recommended,23.0,10.0,204.0,89.0,460.0,560.0,450.0,540.0,20.0,25.0,20.0,25.0,18.0,23.0,,,,
2017,101709,Required,No,Required,Neither required nor recommended,10.0,2.0,477.0,98.0,440.0,620.0,460.0,580.0,20.0,26.0,21.0,28.0,18.0,25.0,,,,
2017,101736,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101879,Required,No,Required,Neither required nor recommended,25.0,2.0,1092.0,97.0,515.0,610.0,455.0,580.0,19.0,25.0,19.0,25.0,17.0,24.0,,,,
2017,101897,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
